Process 2
Received total number of points (1000000)
Local number of points: 125000
(-1001994, -1811288)
(-1001989, -1197466)
(-1001988, 153081)
(-1001984, 662444)
(-1001982, -676479)
(-1001977, -1709430)
(-1001974, 896920)
(-1001971, -1952478)
(-1001966, 397705)
(-1001954, -1623688)
(-1001952, 1808719)
(-1001950, 1293360)
(-1001947, 1482)
(-1001938, -1044871)
(-1001936, -954250)
(-1001935, -307507)
(-1001934, -1459110)
(-1001929, -523840)
(-1001928, -1874911)
(-1001927, 1895618)
(-1001918, 204078)
(-1001916, 920911)
(-1001914, 604177)
(-1001912, 560076)
(-1001905, 972746)
(-1001896, -8453)
(-1001895, 333077)
(-1001894, 93118)
(-1001893, 184478)
(-1001886, 548622)
(-1001884, 1860817)
(-1001876, 1016023)
(-1001874, -1240816)
(-1001873, -1510965)
(-1001868, 1537697)
(-1001863, 113776)
(-1001862, 1575630)
(-1001857, 604590)
(-1001857, 887087)
(-1001855, 1644184)
(-1001849, 109667)
(-1001849, 868364)
(-1001847, 518094)
(-1001845, -154483)
(-1001844, -1921541)
(-1001839, 1378230)
(-1001838, -173906)
(-1001836, -661523)
(-1001834, 359945)
(-1001831, -1401885)
(-1001825, -462355)
(-1001820, -578168)
(-1001815, -593892)
(-1001809, 129246)
(-1001806, -892375)
(-1001800, -1620390)
(-1001793, 41324)
(-1001793, -1122205)
(-1001781, -1390422)
(-1001778, -1410403)
(-1001773, 576585)
(-1001770, -305316)
(-1001768, 836873)
(-1001764, 690161)
(-1001758, -1773930)
(-1001750, 567505)
(-1001742, 1469223)
(-1001741, -1652190)
(-1001725, 908356)
(-1001724, 1086302)
(-1001722, -819755)
(-1001720, 282508)
(-1001720, -775272)
(-1001717, -1957338)
(-1001709, -675844)
(-1001707, 1754842)
(-1001704, -1929754)
(-1001703, 1434287)
(-1001702, 909763)
(-1001696, 297356)
(-1001695, -662007)
(-1001693, 1787656)
(-1001690, -87384)
(-1001686, -1572070)
(-1001677, -801615)
(-1001675, 1750954)
(-1001671, -94283)
(-1001670, -1095566)
(-1001668, -1575625)
(-1001667, -563634)
(-1001665, -572705)
(-1001657, -901132)
(-1001655, 1375674)
